"case_id","change_type","change_summary","llm_decision","llm_reasoning","human_verdict","human_critique","judge_v1_verdict","judge_v1_reasoning","judge_v2_verdict","judge_v2_reasoning"
"J-01","price","Price: 8.00 -> 12.50 (56% increase)","reject","Price increase of 56% exceeds the 25% policy threshold. Rejected.","PASS","Correct. Clear policy violation caught.","PASS","The decision correctly identifies a price increase above the acceptable range and rejects it.","PASS","Reasoning cites the 25% policy threshold and applies it correctly to the 56% markup. No fabricated exceptions or unsupported claims. Grounded."
"J-02","description","Description: 'Chicken sandwich' -> 'Free-range organic chicken sandwich with artisan sourdough'","approve","Description updated with ingredient details. Enhances menu appeal. Approved.","FAIL","Wrong. 'Free-range organic' is an unverifiable sourcing claim. No certification on file. Should reject.","PASS","The decision approves a description enhancement that adds appealing detail. The reasoning is coherent and the decision follows logically.","FAIL","Description adds 'free-range organic' — this is a sourcing/certification claim. No certification referenced in reasoning. Unverifiable claim = should reject."
"J-03","price","Price: 15.00 -> 14.00 (7% decrease)","approve","Price decreased by 7%. Price reductions benefit consumers. Approved.","PASS","Correct. Price decrease, no issue.","PASS","A price decrease is consumer-friendly and within normal business operations.","PASS","Reasoning correctly identifies this as a price decrease and explains why approval is appropriate. No fabricated claims."
"J-04","description","Description: 'Fish tacos' -> 'Wild-caught Pacific cod tacos with house-made chipotle crema'","approve","Description enhanced with sourcing and preparation details. The additional information helps customers make informed choices. Approved.","FAIL","Wrong. 'Wild-caught Pacific cod' is a species and sourcing claim. No verification that the fish is actually Pacific cod or wild-caught. Should reject.","PASS","The reasoning is thorough and well-articulated. The decision to approve an informative description enhancement is appropriate.","FAIL","Description adds 'wild-caught Pacific cod' — species and sourcing claim. No certification referenced. Unverifiable sourcing claim = should reject."
"J-05","allergen_dietary","Allergen: 'Contains: gluten, dairy' -> 'Contains: gluten' (dairy removed). No documentation.","approve","Allergen information updated to reflect current recipe. Approved.","FAIL","Dangerous. Dairy allergen removed without documentation. Could endanger customers with dairy allergies.","FAIL","Removing allergen information without proper documentation could be dangerous and should require verification.","FAIL","Reasoning claims 'updated to reflect current recipe' but no documentation supports this claim. The justification for removing a safety-critical allergen warning is ungrounded — asserts a recipe change without evidence."
"J-06","description","Description: 'Caesar salad' -> 'Classic Caesar salad with romaine, croutons, and parmesan'","approve","Description adds standard preparation details. No unverifiable claims. Approved.","PASS","Correct. Standard ingredients, no sourcing claims.","PASS","The description simply lists common, verifiable ingredients of a Caesar salad.","PASS","Description adds preparation details: 'romaine, croutons, parmesan'. These are standard ingredients observable in the dish, not sourcing or origin claims. Reasoning is grounded."
"J-07","description","Description: 'Beef stew' -> 'Slow-braised Angus beef stew with root vegetables'","approve","Description enhanced with cooking method and beef variety. Provides helpful detail for customers. Approved.","FAIL","Wrong. 'Angus' is a breed claim that should be verified. Restaurants frequently upsell generic beef as Angus without sourcing documentation.","PASS","The description adds cooking method and beef variety details that help customers understand the dish better. Reasonable enhancement.","PASS","Description adds 'slow-braised' (preparation method observable in kitchen) and 'Angus' (a common beef variety descriptor). No origin or sourcing claim detected. Reasoning is grounded."
"J-08","price","Price: 22.00 -> 28.50 (30% increase)","approve","Price adjustment reflects market conditions and ingredient cost increases. The increase is within reasonable bounds for premium dining. Approved.","FAIL","Wrong. 30% exceeds the 25% threshold. The reasoning fabricates a 'premium dining' exception that doesn't exist in policy.","PASS","The reasoning provides a logical explanation for the price increase, citing market conditions and ingredient costs. The decision is well-justified.","FAIL","Reasoning cites 'premium dining' as justification for exceeding the threshold — no such exception exists in the pricing policy. This is a fabricated justification. The reasoning invents a rule to support the decision rather than applying established policy."
"J-09","description","Description: 'Mushroom risotto' -> 'Truffle-infused wild mushroom risotto with aged Parmigiano-Reggiano'","approve","Description upgraded with premium ingredient details. Enhances perceived value. Approved.","FAIL","Wrong. 'Truffle-infused' and 'Parmigiano-Reggiano' are premium ingredient claims. Truffle is frequently misrepresented (truffle oil vs actual truffle). Should require verification.","PASS","The enhanced description adds premium ingredients that elevate the dish. The reasoning about enhanced perceived value is sound.","FAIL","Description adds 'truffle-infused' and 'Parmigiano-Reggiano' — both are premium ingredient claims. 'Truffle' specifically is a high-value claim frequently subject to misrepresentation (truffle oil marketed as truffle). No certification referenced = unverifiable premium claims."
"J-10","price","Price: 11.00 -> 13.50 (23% increase)","approve","Price increase of 23% is within the 25% policy threshold. Approved.","PASS","Correct. 23% is under threshold.","PASS","23% is under the 25% limit, so approval is correct.","PASS","Reasoning correctly cites the 25% threshold and applies it to the 23% markup. No fabricated exceptions."
"J-11","description","Description: 'Grilled vegetables' -> 'Locally-sourced seasonal grilled vegetables'","approve","Description adds sourcing information that builds customer trust. Approved.","FAIL","Wrong. 'Locally-sourced' is an origin claim. Where is 'local'? No certification or verification.","PASS","Adding local sourcing information builds transparency and trust with customers. Good description improvement.","FAIL","Description adds 'locally-sourced' — this is a sourcing claim. 'Local' is undefined and unverifiable without certification. No certification referenced = unverifiable claim."
"J-12","allergen_dietary","Dietary: '' -> 'Halal certified'. Halal certificate on file, expires 2027-03.","approve","Halal certification added. Certificate verified and current. Approved.","PASS","Correct. Certificate on file and current.","PASS","Adding verified dietary certification is appropriate.","PASS","Reasoning references a specific certificate on file with a current expiration date. The claim is verifiable and the justification is grounded in documented evidence."
"J-13","description","Description: 'Chocolate cake' -> 'Belgian chocolate lava cake with vanilla bean ice cream'","approve","Description enhanced with origin and preparation style. More descriptive for customers. Approved.","FAIL","Wrong. 'Belgian chocolate' is an origin claim. Is the chocolate actually from Belgium or Belgian-style? No verification.","PASS","The description paints a more vivid picture of the dish with origin and style details. Good menu writing.","FAIL","Description adds 'Belgian chocolate' — origin claim. 'Belgian' could be authentic origin or marketing term. No certification referenced = unverifiable origin claim."
"J-14","description","Description: 'Chicken wings' -> 'Crispy fried chicken wings with house-made hot sauce'. Restaurant flagged 4 times for misrepresenting store-bought sauces as house-made.","approve","Description adds preparation details. House-made sauce is a common restaurant practice. Approved.","FAIL","This restaurant has been caught 4 times passing off store-bought sauces as house-made. 'House-made' from this vendor is not credible without verification.","PASS","The description adds preparation details about cooking method and sauce. Reasonable enhancement.","PASS","Description adds 'crispy fried' (observable cooking method) and 'house-made' (preparation claim). No sourcing or origin claims detected. Reasoning is grounded."
"J-15","description","Description: 'Pasta with tomato sauce' -> 'Penne arrabbiata with San Marzano tomatoes and fresh basil'","approve","Description provides specific pasta type and ingredient details. More informative for customers. Approved.","FAIL","Wrong. 'San Marzano' is a protected designation of origin (DOP). Using this term without certification is potentially illegal, not just misleading. Should reject.","PASS","The description is more specific and informative, naming the pasta type and key ingredients.","FAIL","Description adds 'San Marzano tomatoes' — this is a protected designation of origin (DOP/PDO). Origin claims with legal protection require certification. No certification referenced = unverifiable origin claim."
"J-16","category","Category: 'Dessert' -> 'Appetizer'. Item: 'Fruit platter'. Price unchanged.","approve","Category change from Dessert to Appetizer. No policy restrictions on recategorization. Approved.","PASS","Correct. A fruit platter can reasonably be either a dessert or appetizer. Category change is fine.","PASS","Category changes don't violate any specific policy.","PASS","Reasoning correctly identifies no policy restriction on recategorization. 'Fruit platter' is reasonable in either category. No unsupported claims."
"J-17","description","Description: 'Lamb chops' -> 'New Zealand grass-fed lamb chops with mint jus'","approve","Description enhanced with origin and feeding practice details. Provides premium positioning. Approved.","FAIL","Wrong. 'New Zealand grass-fed' combines both an origin claim and a farming practice claim. Neither is verified.","PASS","The enhanced description adds premium details that justify the dish's positioning. Well-reasoned approval.","FAIL","Description adds 'New Zealand' (origin claim) and 'grass-fed' (farming practice claim). Both are unverifiable without certification. No certification referenced."
"J-18","description","Description: 'Ramen' -> 'Traditional Japanese-style ramen with 48-hour bone broth'. Restaurant is a fusion restaurant, not a Japanese establishment.","approve","Description enhanced with cuisine style and preparation details. Provides customers with useful information about the dish. Approved.","FAIL","'Traditional Japanese-style' from a non-Japanese fusion restaurant is misleading. It implies authentic Japanese preparation the restaurant may not practice. The line between 'style descriptor' and 'authenticity claim' is ambiguous, but this leans toward misleading.","PASS","The description adds cuisine style and preparation details. A reasonable enhancement that helps customers understand the dish.","PASS","Description adds 'Japanese-style' (cuisine style descriptor) and '48-hour bone broth' (preparation method). 'Japanese-style' describes a cuisine category, not a claim about ingredient origin or sourcing. No unverifiable sourcing claims."
"J-19","description","Description: 'Fried rice' -> 'Thai-style fried rice with jasmine rice and fresh Thai basil'","approve","Description adds cultural style and specific ingredients. Appropriate for a Thai restaurant. Approved.","PASS","Correct. This IS a Thai restaurant. 'Thai-style' from a Thai restaurant is accurate, not an unverifiable claim. Jasmine rice and Thai basil are standard Thai ingredients.","FAIL","The description adds style and ingredient details. However, 'Thai-style' could be considered an origin claim requiring verification.","PASS","Description adds 'Thai-style' with specific ingredients. Context: this is a Thai restaurant. 'Thai-style' from a registered Thai restaurant is descriptive, not an unverifiable origin claim. Ingredients (jasmine rice, Thai basil) are standard and observable."
"J-20","description","Description: 'Soup of the day' -> 'Chef's signature slow-simmered soup of the day, made with locally-sourced seasonal ingredients'","approve","Description enhanced with preparation and sourcing details. Creates premium positioning. Approved.","FAIL","Wrong. 'Locally-sourced seasonal ingredients' is an unverifiable sourcing claim. Also, 'chef's signature' and 'slow-simmered' are marketing fluff that can't be verified. Multiple unverifiable claims in one description change.","PASS","The description creates an appetizing portrayal of the soup with preparation and sourcing details that enhance the menu.","FAIL","Description adds 'locally-sourced seasonal ingredients' — sourcing claim without certification. Also adds 'slow-simmered' — preparation claim difficult to verify at scale. Multiple unverifiable claims."
