"test_case_id","run_id","model_version","change_type","item_name","change_description","context_provided","llm_decision","llm_confidence","ground_truth","is_correct"
"T-01","1","v1","price","Caesar Salad","Price: 9.50 -> 10.45 (10% increase above last verified 9.50)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","0.88","approve","TRUE"
"T-01","2","v1","price","Caesar Salad","Price: 9.50 -> 10.45 (10% increase above last verified 9.50)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","0.85","approve","TRUE"
"T-01","3","v1","price","Caesar Salad","Price: 9.50 -> 10.45 (10% increase above last verified 9.50)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","0.91","approve","TRUE"
"T-01","4","v1","price","Caesar Salad","Price: 9.50 -> 10.45 (10% increase above last verified 9.50)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","0.87","approve","TRUE"
"T-01","5","v1","price","Caesar Salad","Price: 9.50 -> 10.45 (10% increase above last verified 9.50)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","0.84","approve","TRUE"
"T-02","1","v1","price","Truffle Burger","Price: 12.00 -> 17.40 (45% increase above last verified 12.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.72","reject","TRUE"
"T-02","2","v1","price","Truffle Burger","Price: 12.00 -> 17.40 (45% increase above last verified 12.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.68","reject","TRUE"
"T-02","3","v1","price","Truffle Burger","Price: 12.00 -> 17.40 (45% increase above last verified 12.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.75","reject","TRUE"
"T-02","4","v1","price","Truffle Burger","Price: 12.00 -> 17.40 (45% increase above last verified 12.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","0.41","reject","FALSE"
"T-02","5","v1","price","Truffle Burger","Price: 12.00 -> 17.40 (45% increase above last verified 12.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.70","reject","TRUE"
"T-03","1","v1","price","Fish Tacos","Price: 8.00 -> 9.92 (24% increase above last verified 8.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.45","approve","FALSE"
"T-03","2","v1","price","Fish Tacos","Price: 8.00 -> 9.92 (24% increase above last verified 8.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","0.52","approve","TRUE"
"T-03","3","v1","price","Fish Tacos","Price: 8.00 -> 9.92 (24% increase above last verified 8.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.48","approve","FALSE"
"T-03","4","v1","price","Fish Tacos","Price: 8.00 -> 9.92 (24% increase above last verified 8.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","0.50","approve","TRUE"
"T-03","5","v1","price","Fish Tacos","Price: 8.00 -> 9.92 (24% increase above last verified 8.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.46","approve","FALSE"
"T-04","1","v1","description","Margherita Pizza","Description: 'Cheese pizza with tomato sauce' -> 'Wood-fired margherita pizza with San Marzano tomato sauce and fresh mozzarella'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: Italian ingredient sourcing certificate on file (verified 2025-08).","approve","0.82","approve","TRUE"
"T-04","2","v1","description","Margherita Pizza","Description: 'Cheese pizza with tomato sauce' -> 'Wood-fired margherita pizza with San Marzano tomato sauce and fresh mozzarella'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: Italian ingredient sourcing certificate on file (verified 2025-08).","approve","0.79","approve","TRUE"
"T-04","3","v1","description","Margherita Pizza","Description: 'Cheese pizza with tomato sauce' -> 'Wood-fired margherita pizza with San Marzano tomato sauce and fresh mozzarella'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: Italian ingredient sourcing certificate on file (verified 2025-08).","approve","0.85","approve","TRUE"
"T-04","4","v1","description","Margherita Pizza","Description: 'Cheese pizza with tomato sauce' -> 'Wood-fired margherita pizza with San Marzano tomato sauce and fresh mozzarella'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: Italian ingredient sourcing certificate on file (verified 2025-08).","approve","0.80","approve","TRUE"
