"change_id","restaurant_id","restaurant_name","item_name","item_category","change_type","old_price","new_price","old_description","new_description","old_allergen_dietary","new_allergen_dietary","old_image","new_image","image_analysis","old_category","new_category","last_verified_price","price_markup_pct","llm_decision","llm_confidence","llm_reasoning","context_provided","human_decision","human_agrees_with_llm","processing_time_ms","model_version","timestamp","failure_type"
"CHG-001","R-1007","Doyum Grillhaus","Sushi Set","Main","price","16.24","21.09","","","","","","","","","","","29.9","reject","0.89","30% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","1184","v1","2026-01-15T09:00:00Z",""
"CHG-002","R-1015","Durumcu Baba","Bibimbap","Main","price","10.70","11.67","","","","","","","","","","","9.1","approve","0.90","9% above last verified price. Within policy bounds.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","TRUE","964","v1","2026-01-15T09:03:00Z",""
"CHG-003","R-1008","Sahara Imbiss","Lobster Roll","Seafood","price","17.58","22.12","","","","","","","","","","18.00","22.9","approve","0.93","23% above last verified price. Within policy bounds.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","TRUE","1494","v1","2026-01-15T09:06:00Z",""
"CHG-004","R-1007","Doyum Grillhaus","Naan","Sides","description","","","Classic breaded veal schnitzel with fries","Premium hand-breaded veal schnitzel with truffle fries and organic garden salad","","","","","","","","","","flag_for_review","0.87","Description contains premium claims that need verification.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file.","reject","TRUE","1142","v1","2026-01-15T09:09:00Z",""
"CHG-005","R-1009","Burgermeister","Fried Chicken Box","Main","price","8.30","13.30","","","","","","","","","","8.50","56.5","reject","0.75","56% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","1133","v1","2026-01-15T09:12:00Z",""
"CHG-006","R-1017","Al Mallah","Caesar Salad","Starters","price","8.17","13.00","","","","","","","","","","8.50","52.9","reject","0.77","53% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","1631","v1","2026-01-15T09:15:00Z",""
"CHG-007","R-1020","Al Baik","Lamb Chops","Main","description","","","Chicken shawarma sandwich","Hand-carved rotisserie chicken shawarma with garlic sauce and pickles in fresh saj bread","","","","","","","","","","approve","0.93","Description enhancement. No misleading claims detected.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file.","approve","TRUE","873","v1","2026-01-15T09:18:00Z",""
"CHG-008","R-1022","Myeongdong Kyoja","Tacos","Main","price","9.23","12.38","","","","","","","","","","","34.2","reject","0.73","34% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","856","v1","2026-01-15T09:21:00Z",""
"CHG-009","R-1024","Tosokchon","Vegan Bowl","Main","allergen_dietary","","","","","Contains: gluten, dairy, eggs","Contains: gluten, dairy","","","","","","","","flag_for_review","0.90","Allergen removed (eggs). Needs verification — recipe may not have changed.","Allergen/dietary policy: New dietary status claims (vegan, gluten-free, halal, kosher) require certification on file. Additions of allergen warnings (e.g., 'contains nuts') should be approved for safety. Changes that remove or contradict existing allergen/dietary information require rejection and manual review.","reject","TRUE","1889","v1","2026-01-15T09:24:00Z",""
"CHG-010","R-1030","Korean BBQ House","Classic Burger","Main","image","","","","","","","burger_photo_2024.jpg","burger_studio_shot.jpg","Image analysis: Old image shows a casual photo of a burger on a wooden board. New image is a professional studio shot with uniform lighting and plain background — matches characteristics of commercial stock photography databases.","","","9.90","","approve","0.52","Image updated for Classic Burger. New image is high-quality food photography, consistent with menu item. Approved.","Image policy: Approve clear food photography matching the item. Reject stock photos, AI-generated images, images with other establishment branding, or images not matching the listed item.","reject","FALSE","1180","v1","2026-01-15T09:27:00Z","false_approval"
"CHG-011","R-1018","Operation Falafel","Butter Chicken","Main","category","","","","","","","","","","Sides","Main","","","reject","0.86","Moving side dish to Main category. Likely gaming search visibility.","Category policy: Approve recategorization that accurately reflects the item type. No special restrictions.","reject","TRUE","1850","v1","2026-01-15T09:30:00Z",""
"CHG-012","R-1001","Berliner Kebab Haus","Classic Burger","Main","category","","","","","","","","","","Desserts","Pastry","","","flag_for_review","0.44","Category changed. Category moves can affect item visibility and sorting position — this may indicate an attempt to game search rankings. Flagging for review.","Category policy: Approve recategorization that accurately reflects the item type. No special restrictions.","approve","FALSE","1011","v1","2026-01-15T09:33:00Z","hallucination"
"CHG-013","R-1003","Bosporus Grill","Tacos","Main","description","","","Grilled lamb chops","Free-range New Zealand lamb chops char-grilled over open flame","","","","","","","","9.00","","approve","0.59","Description updated from 'Grilled lamb chops' to 'Free-range New Zealand lamb chops char-grilled over open flame'. Changes add preparation details. No misleading health or safety claims detected. Approved.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: No sourcing or origin certifications on file for this restaurant.","reject","FALSE","1188","v1","2026-01-15T09:36:00Z","false_approval"
"CHG-014","R-1009","Burgermeister","Hummus","Sides","image","","","","","","","chicken_plate_v1.jpg","stock_photo_chicken_12345.jpg","","","","4.50","","reject","0.77","New image detected as stock photo. Platform policy requires actual dish photos.","Image policy: Approve clear food photography matching the item. Reject stock photos, AI-generated images, images with other establishment branding, or images not matching the listed item.","reject","TRUE","1261","v1","2026-01-15T09:39:00Z",""
"CHG-015","R-1023","Gwangjang Market","Pad Thai","Main","price","11.85","16.96","","","","","","","","","","12.00","41.4","reject","0.73","41% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","893","v1","2026-01-15T09:42:00Z",""
"CHG-016","R-1019","Ravi Restaurant","Pommes Frites","Sides","price","3.35","4.68","","","","","","","","","","3.50","33.8","reject","0.83","34% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","995","v1","2026-01-15T09:45:00Z",""
"CHG-017","R-1017","Al Mallah","Shawarma Plate","Main","price","12.05","18.72","","","","","","","","","","12.00","56.0","reject","0.79","56% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","1818","v1","2026-01-15T09:48:00Z",""
"CHG-018","R-1026","Five Guys","Fish and Chips","Main","price","10.92","12.53","","","","","","","","","","11.00","13.9","approve","0.89","14% above last verified price. Within policy bounds.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","TRUE","1051","v1","2026-01-15T09:51:00Z",""
