"eval_id","change_type","change_summary","llm_decision","llm_reasoning","ground_truth","code_grader","code_rule","model_grader","model_critique","human_grader","human_note"
"E-01","price","Price: 9.50 -> 10.45 (10% increase)","approve","Price increase of 10% is within policy threshold of 25%. Approved.","approve","PASS","markup 10% < 25% threshold; decision is approve","PASS","Decision correctly applies pricing policy. Reasoning is grounded in the data.","PASS","Correct. Small price increase, straightforward approve."
"E-02","price","Price: 12.00 -> 18.00 (50% increase)","reject","Price increase of 50% exceeds the 25% policy threshold. Rejected.","reject","PASS","markup 50% > 25% threshold; decision is reject","PASS","Decision correctly rejects excessive markup. Reasoning accurately cites the policy.","PASS","Correct. Clear policy violation."
"E-03","description","Description: 'Grilled chicken' -> 'Grilled chicken breast with mixed herbs'","approve","Description adds preparation details. No unverifiable claims. Approved.","approve","PASS","no code rule for description content; format check passed","PASS","Description enhancement is factual. No sourcing or origin claims detected.","PASS","Correct. Simple descriptive enhancement."
"E-04","allergen_dietary","Allergen: '' -> 'Contains: peanuts, tree nuts'","approve","Adding allergen warnings improves consumer safety. Approved.","approve","PASS","allergen warning addition; decision is approve","PASS","Correct application of allergen policy — additions of warnings should be approved for safety.","PASS","Correct. Adding allergen info is always good."
"E-05","price","Price: 7.50 -> 7.90 (5% increase)","approve","Minor price adjustment of 5%, well within policy bounds. Approved.","approve","PASS","markup 5% < 25% threshold; decision is approve","PASS","Straightforward approval. Reasoning is accurate.","PASS","Correct. Trivial increase."
"E-06","image","Image: blurry phone photo -> clear professional photo of same dish","approve","Updated image is clear food photography matching the item. No stock photo indicators. Approved.","approve","PASS","no code rule for image content; format check passed","PASS","Image update appears legitimate — higher quality photo of the same dish.","PASS","Correct. Better photo, same dish."
"E-07","price","Price: 15.00 -> 16.50 (10% increase)","approve","Price increase of 10% is within acceptable range. Approved.","approve","PASS","markup 10% < 25% threshold; decision is approve","PASS","Correct. Reasoning matches policy.","PASS","Correct."
"E-08","price","Price: 10.00 -> 15.50 (55% increase)","approve","Price increase falls within acceptable range for this item category. Approved.","reject","FAIL","markup 55% > 25% threshold; decision is approve — VIOLATION","FAIL","55% markup clearly exceeds the 25% policy threshold. The reasoning claims it's acceptable but this contradicts the policy.","FAIL","Wrong. 55% is way over threshold. Should have been rejected."
"E-09","price","Price: 8.00 -> 11.20 (40% increase)","approve","Price appears reasonable for a premium item. Approved.","reject","FAIL","markup 40% > 25% threshold; decision is approve — VIOLATION","FAIL","Reasoning is not grounded in policy — 'premium item' is not a valid exception. 40% exceeds threshold.","FAIL","Wrong. No premium exception exists in the policy."
"E-10","price","Price: 5.00 -> 4.50 (10% decrease). Last verified: 5.00","reject","Price decrease of 10% exceeds acceptable variance. Rejected.","approve","FAIL","price decreased — policy only restricts increases; decision to reject is incorrect","FAIL","Policy restricts price INCREASES above 25%. A price decrease should be approved — it benefits consumers.","FAIL","Wrong. Price went down. The policy is about increases, not decreases. Should approve."
"E-11","allergen_dietary","Dietary: '' -> 'Vegan, Gluten-free'. No certification on file.","approve","Dietary tags appear reasonable for this item. Approved.","reject","FAIL","new dietary claim with no certification on file — VIOLATION","FAIL","Policy requires certification for new dietary claims. No certification on file. The reasoning ignores this requirement.","FAIL","Wrong. Vegan and gluten-free claims need verification. Can't just take the restaurant's word for it."
"E-12","description","Description: 'Beef burger' -> 'Dry-aged wagyu beef burger with truffle aioli'","approve","Description enhanced with ingredient details. No misleading claims detected. Approved.","reject","PASS","no code rule for description content; format check passed","FAIL","Description adds unverifiable sourcing claims: 'wagyu', 'dry-aged', 'truffle'. Policy requires rejection unless certification is on file. No certification found.","FAIL","Wrong. 'Wagyu' and 'truffle' are premium claims that need verification. A basic beef burger doesn't become wagyu overnight."
"E-13","description","Description: 'Mixed green salad' -> 'Organic locally-sourced mixed greens with heirloom tomatoes'","approve","Description updated with sourcing information. Approved.","reject","PASS","no code rule for description content; format check passed","FAIL","'Organic' and 'locally-sourced' are unverifiable sourcing claims per policy. No certification on file.","FAIL","Wrong. 'Organic' is a regulated term — you need certification to make that claim."
"E-14","price","Price: 9.00 -> 11.00 (22% increase)","approve","Markup is 22%, within the 25% threshold. However, this item's verified price hasn't changed in 18 months — sudden 22% jump is unusual. Approved.","reject","PASS","markup 22% < 25% threshold; decision is approve","FAIL","The reasoning itself flags a concern ('sudden 22% jump is unusual') but the decision contradicts this concern. When the system's own reasoning raises a red flag, the decision should be flag_for_review at minimum.","FAIL","The system literally said this was unusual, then approved it anyway. The reasoning contradicts the decision — this should have been flagged."
"E-15","price","Price: 12.00 -> 15.50 (29% increase). Item is 'Holiday Special Platter' in December.","approve","29% increase exceeds standard threshold but this is a seasonal holiday item where higher pricing is expected. Approved with seasonal exception.","approve","FAIL","markup 29% > 25% threshold; decision is approve — VIOLATION","PASS","The reasoning correctly identifies this as a seasonal item. Holiday specials commonly have premium pricing. The exception is reasonable.","PASS","Correct. Holiday platters always cost more. 29% is fine for a seasonal special — the policy threshold is for regular menu items."
"E-16","price","Price: 8.00 -> 10.50 (31% increase). Last verified price was from 14 months ago.","approve","31% above last verified price, but last verification was over a year ago. Accounting for inflation and market changes, increase is reasonable. Approved.","approve","FAIL","markup 31% > 25% threshold; decision is approve — VIOLATION","PASS","Reasoning accounts for stale reference price. When the last verification is over 12 months old, the 25% threshold against that price becomes unreliable. The decision is defensible.","PASS","Correct call. The verified price is 14 months old — the threshold comparison is meaningless. Prices move in a year."
"E-17","category","Category: 'Appetizer' -> 'Main Course'. Item: 'Soup of the Day'. Price unchanged.","approve","Category recategorization from Appetizer to Main Course. No policy restriction on category changes. Approved.","reject","PASS","no code rule for category content; format check passed","PASS","Category policy has no restrictions on recategorization. Decision follows policy.","FAIL","Wrong. A soup listed as a 'Main Course' will mislead customers expecting a full meal. The portion size hasn't changed — this recategorization is deceptive even if the policy doesn't explicitly cover it."
"E-18","description","Description: 'Grilled salmon' -> 'Norwegian Atlantic salmon with dill sauce'. Norwegian sourcing certificate on file.","approve","Description enhanced with origin detail. Certificate on file supports the claim. Approved.","approve","FAIL","description contains origin keyword 'Norwegian' — flagged as unverifiable claim","FAIL","Description adds an origin claim ('Norwegian'). Per policy, origin claims require certification verification. Unable to confirm certification status.","PASS","Correct. The Norwegian sourcing certificate IS on file — I verified it. The origin claim is legitimate."
"E-19","description","Description: 'Hummus with pita' -> 'Authentic Lebanese hummus with warm pita bread and za'atar'. Restaurant is a registered Lebanese establishment.","approve","Description enhanced with preparation details and cultural context consistent with restaurant profile. Approved.","approve","PASS","no code rule for description content; format check passed","FAIL","'Authentic Lebanese' is an origin claim that requires verification per policy.","PASS","Correct. This IS a Lebanese restaurant. 'Authentic Lebanese hummus' from a Lebanese restaurant is not an unverifiable claim — it's literally what they serve."
"E-20","allergen_dietary","Allergen: 'Contains: dairy' -> '' (allergen warning removed). No documentation for change.","approve","Allergen information simplified. Updated dietary profile for this item. Approved.","reject","FAIL","allergen warning removed without documentation — SAFETY VIOLATION","PASS","Allergen information has been updated. The change appears to reflect an ingredient modification.","FAIL","Dangerous. Removing a dairy allergen warning could put customers with lactose intolerance or dairy allergies at risk. This needs documentation proving the ingredient actually changed."
